subject,reading,part_of_speech,definition,explanation,JLPT
に見える,にみえる,,"To look, To seem, To appear","にみえる (primarily written only in hiragana) is a phrase that combines the case marking particle に , with the る-Verb 見 える 'to appear', or 'to be visible'. This construction is regularly used with nouns, to show that something 'appears to be (A)', but it may also be partnered with the auxiliary verbs ようだ or そうだ (in their adverbial forms ように and そうに ) to add a level of uncertainty. In these cases, it sounds closer to 'to seem to be (A)' in English. As with many other ようだ structures, みたい may be used instead. This creates the expression みたい にみえる . While this may appear confusing at first, it just means 'to look like something that could be (A)'. In this way it reinforces the 'guess' that the speaker is making. Caution In grammar constructions like this, kanji will very rarely be used. This is primarily because it will change the way a native speaker perceives the meaning. Many grammar structures are written purely in hiragana, specifically to express that they are a 'set' construction. Adding kanji can lead a reader to assume that the writer is highlighting the kanji's meaning, rather than the more common grammatical meaning.",N4
にも拘わらず,にもかかわらず,,"Despite, In spite of, Regardless, Nevertheless","にもかかわらず is a formal grammar structure in Japanese used to convey that something is 'in spite of (A)', or 'despite (A)'. This pattern is a combination of に, も, the う-Verb 拘 わる 'to fixate on', or 'to stick to', and the literary auxiliary verb ず, which connects with verbs in the same way, and carries the same meaning as ない. This structure is most frequently seen connected to verbs, い-Adjectives and nouns in their standard forms. In most cases, this pattern will appear without kanji. Literally, this phrase can be thought of as expressing 'without being affected by (A), (B)', or 'without fixating on (A), (B)'. However, it is almost always used in exactly the same way as のに 'despite'. Caution It is important not to get にも 拘 わらず mixed up with に 関 わらず. The former expresses 'despite', while the latter tends to be used more often for 'no matter if'.",N2
に基づいて,にもとづいて,,"Based on, In accordance with","In order to say that one thing is 'based on' another in Japanese, the expression に 基 づいて will be used. This is a combination of the case marking particle に, the う - Verb, 基 づく 'to originate from', and the conjunction particle て. This expression regularly highlights some kind of judgement/conclusion that the speaker has made, using (A) as their base. To use に 基 づいて , put the noun (or noun phrase) that you would like to identify as a 'basis' before に 基 づいて , and then express your judgment/conclusion in part (B) of the sentence. Alternatively, the past form of 基 づく may be used when connected directly to a second noun. (A) に 基 づいた (B) directly expresses that (B) is based on (A). Fun Fact The kanji 基 is fairly accurately translated as 'foundation', and is regularly used to highlight things that 'stem' from something. Due to this, に 基 づいて may also be used to identify things that are 'produced from (A)', 'created from (A)', or 'invented based on (A)'.",N3
にも程がある,にもほどがある,,"There is a limit to, You are too ..., How …!, How … one can be!","にも 程 がある is an expression that will often be used fairly critically in order to state that something is too much, based on the speaker's personal opinion. Common translations include 'how (A) can one be', 'there is a limit to (A)', or 'you are too (A)'. Being that it is composed of the case-marking particle に, adverbial particle も, the noun 程 'bounds', and がある 'to have', the more literal meaning of 'there are bounds even within (A)' also carries the critical nuance of the more standard translations. This structure may follow almost any word type in their standard form s. Caution Despite being used negatively in the vast majority of situations, there are instances where にも 程 がある will be used positively with adjectives such as かわいい 'cute' or うまい 'delicious'. In sentences like this, the grammar structure is being used jokingly to express admiration or approval.",N1
にもまして,にもまして,,"Even -er than, Even more than, More than anything, More than anybody, More than ever","にもまして is a structure used to imply that something has surpassed a certain point, and will be used particularly when that thing was at a consistent level in the past, but has now risen. Common translations include 'more than ever, (B)', or 'even more than (A), (B)'. にもまして is simply a combination of the case-marking particle に, the adverbial particle も 'even', and the て-form of the う-Verb 増 す 'to increase'. The に will be attached to a noun which it is marking as the comparison point from which 増 す indicates an increase or growth. This means that the literal translation is simply 'even increasing from (A), (B)'. This pattern will regularly follow words like 誰 'who', 何 'what', or いつ 'when'. In these cases, (A) is just being expressed as 'anyone', 'anything', or 'ever', rather than something more specific.",N1
う,にも～ない,,"Cannot... even if one wants or tries, Would like but cannot, Wants or tries but cannot","When combined with either of the auxiliary verbs of volition, う or よう, にも～ない conveys that 'despite wanting to (A), it can't be done'. There are usually some circumstances as to why (A) cannot be done that are beyond the control of the speaker. The same verb will be repeated in both the volitional form and the negated potential form. This means that the literal meaning of this grammar pattern is 'Even if I went to (A), I can't (A)'. This 'went to' implies the 'attempt' or 'will' on behalf of the speaker. Caution As opposed to the similar に～ない grammar point that pairs with verbs in dictionary form , ようにも～ない tends to refer more to physical reasons for why something cannot be done. に～ない on the other hand is often used to illustrate mental limitations.",N1
よう,にも～ない,,"Cannot... even if one wants or tries, Would like but cannot, Wants or tries but cannot","When combined with either of the auxiliary verbs of volition, う or よう, にも～ない conveys that 'despite wanting to (A), it can't be done'. There are usually some circumstances as to why (A) cannot be done that are beyond the control of the speaker. The same verb will be repeated in both the volitional form and the negated potential form. This means that the literal meaning of this grammar pattern is 'Even if I went to (A), I can't (A)'. This 'went to' implies the 'attempt' or 'will' on behalf of the speaker. Caution As opposed to the similar に～ない grammar point that pairs with verbs in dictionary form , ようにも～ない tends to refer more to physical reasons for why something cannot be done. に～ない on the other hand is often used to illustrate mental limitations.",N1
による,によって・による,,"By means of, According to, Depending on, Because of, Due to","によって , による , and により are all different versions of the same expression, that can basically be translated as 'according to (A)', or 'depending on (A)'. This uses the same よる as seen in the grammar pattern によると . They will be used in the following way: によって - Generally used before a comma (although not always). Acts as the separation point between the (A) and (B) parts of a sentence. Made up of the case marking particle に , and the う - Verb よる in its て form. による - Generally used at the end of a sentence, to highlight that the previous statement depends on (A). により - Almost always used before a comma. Acts as the separation point between the (A) and (B) parts of a sentence. Made up of the case marking particle に , and the う - Verb よる in its conjunctive form . To use any of these constructions, attach them to the end of a noun that you want to express as being the 'dependent' thing. Caution による may also sometimes be followed by a noun. In these cases, it will become a verb modified noun, and highlight that (B) resulted from (A). Fun Fact Although よる is almost always written in hiragana, there are several different kanji that use this reading. They all share similar meanings. Learn more about this in the によると grammar point.",N3
によると,によると・によれば,,According to,"によると , a combination of the case marking particle に , the う - Verb よる, and the conjunction particle と, is a phrase that is used to express that something is 'according to (A)', or 'going off (A)'. In these cases, (A) is considered to be the source of some form of information which will be conveyed in the (B) part of the sentence. This expression will be used after nouns, or with verbs that have been paired with ところ (to indicate the 'place' where the information came from). In newspapers and in articles, the more formal によりますと variant can also regularly be seen. However, this structure is not limited to using と, and the same meaning can be conveyed with with によれば . This is just よる in its conjunctive form that pairs with the conjunction particle ば . Caution Although によると and によれば are largely interchangeable, によると will convey a higher level of 'certainty', or 'reliability' in regard to the source of information. Due to this, によると is more likely to be used when referring to legitimate sources (police, news, etc). Fun Fact よる is almost always written in hiragana alone. However, there are several different kanji that can be used to represent this verb. Each of these kanji have slightly different nuances, but they generally all represent the same 'base' meaning. This meaning is that '(B)'s foundation is (A)'. The most common kanji used for よる are as follows: 依 る - (B) depends on (A). 拠 る - (B) extends from (A). 因 る - (B) results from (A). 由 る - (B) is due to (A).",N3
に渡って,にわたって,,"Across, Throughout, Extends, Over (a period of time or range)","Partnered with the case marking particle に, the う-Verb 渡 る 'to cross' in its て-form highlights a span of something in regard to breadth, size, or time. This structure is often translated as either 'across (A)', 'throughout (A)', 'extending through (A)', or 'over the period of (A)'. Like other verb structures that pair with nouns, the standard form may also be used when paired with a second noun, in order to modify that noun. Coming from the meaning of 渡 る 'to cross', this grammar pattern always expresses that something is either happening or exists 'all across (A)', or 'from the start to the finish'. Additionally, に 渡 って is considered quite formal, so will often be seen in articles or on the news. Caution As 渡 る indicates a span of something that is being crossed, the 'span' must always be indicated clearly.",N2
に代わって,に代わって,,"In place of, On behalf of, To succeed","に 代 わって is an expression that will only appear with nouns, conveying that (B) is doing something 'in place of (A)', or 'on behalf of (A)'. This is a combination of the case marking particle に , the う - Verb 代 わる 'to substitute', and the conjunction particle て. に代わり may also be used, as this is the formal conjunctive. Also known as the conjunctive form . Fun Fact In this construction, に is acting as a location marker, rather than specifically meaning 'for (A)'. What this means is that に 代 わる is the act of removing (A) from its place, and exchanging it for (B). This is why に 代 わって may also be used in the meaning of 'to succeed', or 'to replace', as switching (A) to (B) may be permanent.",N3
に伴って,に伴って・に伴い,,"As, Due,  Along with, Hand-in-hand with, Resulted in, Be consequent upon","When the う-Verb 伴 う 'to accompany' in its て-form is used with に and attached to the end of nouns or verbs in their dictionary forms, it is regularly translated as 'due to (A), (B)', 'hand in hand with (A), (B)', or 'along with (A), (B)'. In all of these meanings, the base interpretation of 'to accompany' is being highlighted. As 'accompanying' does not specifically indicate that (A) is controlling (B), this grammar structure may be used simply to indicate things that happen at the same time, rather than when something is being directly caused by the first. However, (A) having a strong influence on the change of (B) is usually implied. に 伴 う may also appear directly before another noun when it is being modified by the verb. に 伴 って is used both for events that are progressively changing at the same time, and momentary events that cause a sudden change.",N2
に先立ち,に先立ち,,"Before, Prior to, In preference over","Being a combination of に and the う-Verb 先立 つ 'to take the lead', or 'to precede', this structure connects to both nouns and verbs in their dictionary forms, to indicate that (B) is a preliminary step required for (A). It may be interpreted as 'before (A), (B)', 'prior to (A), (B)', or 'in preference over (A), (B)'. Despite these several interpretations, the literal meaning of 'standing before (A), (B)' can be useful to remember, as it highlights the importance of (B) as a first step. As 先立 つ is a verb, it may be seen in its dictionary from when followed directly by another noun, or in its て-form when indicating the whole (B) phrase as preceding (A). Additionally, the formal-conjunctive form, 先立 ち will often be used in preference of the て-form, as に 先立 つ is a formal grammar structure. Fun-fact 先立 つ may often be seen paired with 物 , and is a set expression in these cases that translates similarly to 'means' in English. This 'means' refers to the prerequisites required to enable something, and will usually appear in negative sentences, in order to show that one 'does not have the means to do (A)'.",N2
に先駆けて,に先駆けて,,"First, Prior to, Pioneer, Ahead of","に 先駆 け , is an expression used after nouns which indicates that something is being done ‘ahead of (A)’, or in a way that ‘paves the way for (A)’. It is a combination of the case-marking particle に, and the conjunctive form of the る-verb 先駆 ける, meaning ‘to lead the attack’, or ‘to pioneer’. In most cases, 先駆 け will imply that one person or organization did something first, which then led to everyone else within the same category taking the same course of action. Common translations include ‘prior to (A), (B)’, or ‘ahead of (A), (B)’. Occasionally, the conjunction particle て may be used after the base 先駆 け form. As this grammar structure often indicates whole bodies that took a similar action after (B), に 先駆 け will usually be seen after words like 世界 ‘the world’, 全国 ‘the whole country’, 全市 ‘the whole city’ or ‘every city’, 業界 ‘the industry’, 他社 ‘other companies’, or 他 ◯ ‘or anything’.",N1
に則って,に則って・に則り,,"According to, In accordance with, Based on, In line with","に 則 って is a formal expression used when something is being done 'according to (A)', or 'in line with (A)'. This is usually some basis, foundation, or standard which has a long running history. The case-marking particle に is being combined with the て-form of the う-Verb 則 る 'to follow along with' in this grammar pattern. Based on this, the literal meaning is just that (B) is something that follows along with (A). While several forms may be seen, the most common are a noun followed by にのっとって , or a noun followed by にのっとった which will then modify a second noun. Both the kanji form and the plain hiragana form are quite common, so it will be helpful to remember both. As (A) is generally considered to be something that has some kind of foundation. It will mostly represent a thing that has some kind of inception point from which point little, if anything, changed. Some examples are laws, traditions, standards, codes of conduct, etc.",N1
に加えて,に加えて,,"Not only...but also, In addition, Not to mention","にくわえて is a formal grammar pattern in Japanese that is a combination of に, and the て-form of the る-Verb 加 える 'to add', or 'to append'. Often, this structure will be translated as 'in addition to (A), (B)', or 'not only (A), but also (B). Being that it is a formal phrase, に 加 えて will also often appear in its formal-conjunctive form に 加 え . To use にくわえて , simply place it directly after the noun that you would like to highlight as being the base information, before discussing what exactly is 'in addition' to that base in the following clause. Both the kanji and hiragana forms of this structure are fairly common, so it will be beneficial to remember both. Caution にくわえて is frequently used when (B) is something that is in addition to (A) in respect to magnifying what was already true of (A). This just means that it will often be used to highlight something being brought about by (B) that would not be possible with just (A) by itself. This increase may be either positive or negative.",N2
に即して,に即して,,"In line with, Based on, In accordance with","に 即 して is a formal grammar structure which is used to express that something is being done for the purpose of handling a matter in the best possible way. It is a combination of に, and the する-verb 即 する 'in corcordance with (A)', ' in line with (A)' in its て-form. Occasionally, に 則 して 'in following with' will be used instead. This structure will be used before nouns, or may be used when one noun is directly modifying another. In the case of the latter, に 即 した will be used instead of に 即 して . Caution に 即 して is used when things are being done based on circumstances or situations, while に 則 して tends to be used when something is being done in accordance with laws, policies, or standards. There are situations where に 則 して will be incorrect, so に 即 して is often used in both cases in recent years.",N1
に反して,に反して,,"Go against, Contrary to","に 反 して , a combination of に and the て-form of 反 する 'to oppose', or 'to go against', is a construction in Japanese that is used to present counter opinions or arguments in relation to the previous statement. Common translations include 'contrary to (A), (B)', and 'going against (A), (B)'. に 反 して will appear after nouns, before expressing some opposing or contrasting point. Alternatively, に 反 する may be used when directly modifying the following noun. Unlike に 対 して , に 反 して will often be used when a prediction does not match the actual reality of a situation. に 反 して is a fairly formal grammar pattern, so will be found mostly in literature, official documents, or speeches.",N2
にとって,に取って,,"To, For, Concerning","にとって (or に 取 って when appearing as kanji) is a structure in Japanese that is used to convey opinions, or just generally to discuss something from a particular perspective. This expression regularly appears after names/pronouns, but may also be used with regular nouns. にとって is often translated as 'to (A)', 'for (A)', or 'concerning (A)'. However, it is used in almost exactly the same way as から 見 て 'from the perspective of (A)'. To use にとって, simply attach it to the end of a noun (or noun phrase) that you would like to express a certain viewpoint, judgment, or opinion from. Fun Fact にとって comes from the verb 取 る 'to take'. In this way, it literally means 'to take up (A)', where (A) is the location (standpoint) being highlighted with the case marking particle に. Broadly, にとって has two main uses, these are as follows: の 身 として - From (A)'s standpoint. (When used about people) の 立場 から 見 て - When looking at it from (A). (When used about things)",N3
に合わせて,に合わせて・に合った,,"In accordance with, Matching, Fitting, Suitable for, Adjust or tune to","When the る - Verb 合 わせる (sometimes 併 せる) is seen in the form 合 わせて, it conveys that something has been made to 'match (A)' or 'fit with (A)'. (A) being a noun that appears before に , followed by 合 わせて. This structure can also have the nuance of 'in accordance with (A)', highlighting that (A) is the governing factor. It is also possible to see the う - Verb 合 う used in its past tense form, linking an (A) noun to a (B) noun. This has a similar meaning, but is closer to '(B) that has met (A)'. In sentences that use either of these expressions, more information is usually given about why something is happening in accordance with (A), or what the purpose of (B) meeting (A) is/was. Caution With 合 わせて, sometimes the meaning is as simple as 'at the same time as (A)', or 'together with (A)'. However, (A) will still be perceived as being the primary cause/reason for whatever happens in the (B) part of the sentence.",N3
に向かって,に向かって・に向けて,,"Towards, To face, To head to","Coming from a link between に and the う-Verb 向 かう 'to face', or 'to go towards' in its て-form, に 向 かって indicates that some specific action is being done 'towards (A)' or 'facing (A)'. (A) usually marks a stationary object or destination in the form of a noun. However, it can also mark less obvious destinations, such as the future ' 未来 '. Additionally, when 向 ける (the transitive form of the verb) is used, it will imply that the speaker is intentionally 'aiming' or 'facing' something towards (A). This is especially true when the objective of the speaker is to make something 'suitable' for (A).",N2
に堪えない,に堪えない,,"Cannot bear to, Cannot stand to, Too much to, Cannot go on doing, Cannot tolerate","に 堪 えない is a construction that will translate as ‘to not be able to bear (A)’, or ‘to not be able to tolerate (A)’. It is a mix of the case-marking particle に, and the negatived form of the る-Verb 堪 える ‘to tolerate’, 堪 えない. In this meaning, に 堪 えない will be used following verbs. This is in contrast to the に 堪 えない grammar point that follows nouns, and means ‘to be very (A)’, but is more literally ‘to be so (A) I can’t stand it’. Although 堪 える will be used more often than other kanji that have the same reading and similar meanings, this is not always the case. Occasionally 耐 える ‘to withstand’ will be used when the emphasis is on the ability to endure (A), while 絶 える ‘to discontinue’, or ‘to peter out’ will be used when the emphasis is on not being able to suppress (A). For 絶 える, this is especially used in the case of strong feelings. Caution The affirmative form of に 堪 える may also be used to express that something is ‘worth doing’. A closer interpretation of this would be similar to an English phrase like ‘to be passable for (A)’. Rather than meaning that something is particularly suitable, it just highlights that it also acceptably falls in the category of (A), despite not being intended for it, or perhaps not expected.",N1
に対して,に対して,,"In contrast to, While, In regard to, Whereas","に 対 する and に 対 して are two grammar patterns in Japanese that are regularly used to show when (B) is 'opposed to' or 'in contrast with' (A). 対 する itself is a verb meaning 'to oppose'. Although this feeling of 'opposition' may be negative, in most circumstances, it just means 'toward' in the sense of targeting something. に 対 する will be followed directly by a second noun, while に 対 して creates a pause in the sentence, before (B) will be explained in the second half of that sentence. Fun Fact Compared to に 関 して (another structure used to show how things 'relate' to each other), に 対 して focuses on (A) and (B) equally, explaining how those things interact, compare, or contrast each other. Caution As に 対 して strongly contrasts (A) and (B), this grammar structure will often be used to express differences between two things. This is very similar to 'whereas' in English.",N3
に当たる,に当たる,,"Correspond to, Amounts to, Equals to, Is appropriate","As mentioned in our 当 たり lesson, 当 たる often has a meaning that is similar to に 対 して 'to be in regard to'. Due to this, when combined with the case marking particle に , に 当 たる will be translated as 'to correspond to', 'to amount to', 'to be appropriate for', or 'to be in regard to'. These may seem quite different, but we will examine the similarities shortly. To use に 当 たる , attach it to the end of an (A) noun that you would like to mark as being the 'point of reference'. (B) may come directly after に 当 たる , or earlier in the sentence, so long as it is clearly separated from (A). As for the link between に 対 して and に 当 たる , it is as follows. In に 対 して, (A) and (B) exist simultaneously, but (B) opposes something about (A). に 当 たる , (A) and (B) exist simultaneously, but (B) matches something about (A). Due to this, unless the speaker is specifically trying to highlight something that is 'opposing', or 'matching', the base meaning of '(A) and (B) existing simultaneously' may be the standard translation.",N3
に応えて,に応えて,,"In response to, Meet","にこたえて is a construction formed from に, and the て-form of the る-Verb 応 える. It is often translated as 'to meet (A)', or 'in response to (A)'. Like に 応 じて 'to apply to', にこたえて indicates that (B) is something that will change based on what is considered necessary, suitable, or appropriate on a case-by-case basis when it comes to (A). にこたえて often appears in hiragana alone, and will attach to the end of nouns that it is marking as the (A) that something being done in response to. Alternatively, にこたえる will be used when connected directly to a second noun. In many cases, (A) will indicate a request, wish, or expectation.",N2
に応じて,に応じて,,"Depending or based on, According to, In response to, Suitable for or to,","に 応 じて is a combination of に, and the て-form of the る-Verb 応 じる 'to apply to'. This grammar structure is often translated as 'depending on (A), (B)', or 'in response to (A), (B)'. However; in almost all cases, it is just indicating that (B) is something that is done in a way that is 'applicable' to what is necessary of (A). に 応 じて will appear after nouns, or as に 応 じた when directly modifying a second noun. Fun-fact 応 じる usually indicates the way something 'responds to' or 'answers' an issue on a case-by-case basis. Due to this, what happens in (B) will frequently indicate something that changes depending on the intensity or severity of (A).",N2
に恥じない,に恥じない,,"Lives up to, Truly to …’s name, Worthy of, Not dishonor, Not putting to shame, Measure to","When showing that something lives up to an expected standard or level of quality, the phrase に 恥 じない will be used. This is a combination of the case-marking particle に, and the negated form of the る-Verb 恥 じる 'to shame'. The literal translation is 'without shaming (A)'. This structure will follow nouns. In many cases, (A) will be a word indicating an aspect of something that has come to be well known. Examples of this are 名 name, 名誉 'reputation', etc. As に 恥 じない has the nuance of 'not shaming (A)', or 'not damaging the reputation of (A)', it will usually only be used in positive contexts, where someone or something is being praised.",N1
に比べて,に比べて,,"Compared to, When compared to","に 比 べて is a set expression in Japanese, used when comparing one thing to another. It is often simply translated as '(A) compared to (B)', or 'when comparing (A) to (B)'. 比 べる is a る - Verb that means 'to compare', or 'to contrast'. に 比 べて will be attached directly after a noun, before the (B) part of the sentence will explain the comparison that is being made. Occasionally, the case marking particle と will be used instead of に . に and と are largely interchangeable in this expression, with に focusing slightly more on the changes/differences between similar features of (A) and (B). Alternatively と often mutually contrasts (A) and (B), discussing their individual/unique characteristics. Caution The way that 比 べる is conjugated is not overly important to the sentence, so long as the meaning of 'if', or 'when' is conveyed. Due to this, に 比 べたら, に 比 べれば, and に 比 べると are all possible combinations.",N3
に気を付ける,に気をつける,,"Take care, Be careful, Pay attention, Make sure, Watch out","Another of the large number of collocations in Japanese based on 気 'attention', or 'focus', is 気 を 付 ける . This is just a combination of the noun 気 , を, and the る-Verb 付 ける 'to adhere', or 'to attach'. 気 を 付 ける primarily follows (A) に. This marks (A) as something that the speaker is 'adhering' their attention to, and translates as 'to pay attention to (A)', 'to be careful of (A)', or 'to watch out for (A)'. This grammar pattern is used after nouns or noun-like phrases, indicating the thing that is being warned about, or that the speaker themselves is being cautious of. Most often, 気 を 付 ける will be used to warn about possible errors that could be made, mistakes, or simply the loss of focus. Due to this, it frequently follows negative verbs as ないよう, highlighting that something should be done in a 'manner' that doesn't result in (A).",N2
に決まっている,に決まっている,,"Surely, Bound to, Certainly, Be decided","に 決 まっている is a strong expression which indicates that (A) is something that the speaker either strongly believes to be true (but cannot confirm), or that they believe that (A) is only natural. These meanings primarily end up being translated as 'surely (A)', 'bound to be (A)', or 'certainly (A)'. As this structure is a combination of に and the ている-form of the う-Verb 決 まる 'to decide', the closest literal translation is 'for (A) to be decisively the case'. に 決 まっている may appear directly following verbs, い-Adjectives, な-Adjectives or nouns. に 決 まっている primarily focuses on the speaker's subjective opinion about (A). This means that it takes into consideration their own preformed opinions or thoughts about (A), regardless of what the actual facts may be.",N2
に沿って,に沿って,,"Along, In accordance with, In line with","When used with the case marking particle に, the う-Verb 沿 う 'to run alongside' in its て-form expresses that something is going 'along with (A)', 'in accordance with (A)', or 'in line with (A)'. This is primarily in relation to laws, conventions, traditions, needs, and other things which are not usually deviated away from. The nuance with this particular grammar structure is that (A) is the controlling factor, and (B) is being done with that in consideration. に 沿 って may also appear with the verb in its standard form when paired with a second noun, in order to modify that noun. As the base meaning of 沿 う is 'to follow along', it will also regularly be seen in relation to going along some specific path or street. While this grammar structure is relatively formal, when literally meaning 'alongside', it will be used fairly frequently.",N2
に照らして,に照らして・に照らすと,,"In light of, Based on, According to, Referencing, Comparing against, In view of","に 照 らして is an expression based on the standard meaning of the う-Verb 照 らす 'to illuminate', and is primarily used comparatively in a similar way to 'in light of' in English. This comparative meaning aims to illustrate (B) from the perspective of (A), and usually refers to situations, level of experience, or something similar. To use this structure, attach the case-marking particle に to the end of a noun, then follow it with 照 らして. If a second noun will be modified directly, then 照 らした will be used instead. Keep in mind that the に in this structure is marking (A) as the 'doer' of 照 らす 'to illuminate', as it is a transitive verb. This means that the structure has a more literal translation of '(B) as reflected by (A)'. This can also be thought of as 'as made clear by (A), (B)', 'as made evident by (A), (B)'. (B) will almost always be a judgment that is logically based on (A).",N1
に相違ない,に相違ない,,"Without a doubt, Certainly, Surely, Not mistaken","In a similar fashion to に 違 いない, に 相違 ない is a structure that firmly states that something is 'without a doubt (A)', or that there is 'no mistaking (A)'. It may be used to strengthen one's own opinions, or to strongly agree with the opinion of another. Although 相違 may be used by itself meaning 'to differ', or 'to have a discrepancy', 相違 ない is considered as a set い-Adjective. When combined with ない, the literal meaning is just 'there is no discrepancy in (A)'. に 相違 ない may be used with verbs, い-Adjectives, な-Adjectives and nouns. に相違ない will often follow から, highlighting that there is no mistaking the 'cause' of (A). Caution This grammar structure is very formal, with に 違 いない almost always being used in its place.",N2
に至っては,に至っては,,"When it comes to, As for, In particular, What is worse or more","に 至 っては is an expression which presents the most extreme example for something from within a specific category. Due to this, it will usually be translated as 'when it comes to (A), (B)', 'in particular to (A) is (B)', or 'with (A) as the most extreme example, (B)'. This is a combination of the case-marking particle に, the て-form of the る-Verb 至 る 'to climax', or 'to culminate in', and the adverbial particle は in its standard role of presenting a topic. In this way, the literal meaning of 'culminating within (A) is (B)' is quite close to the nuance of the English translations. に 至 っては will appear following nouns, or nominalized phrases. Caution As the verb 至 る itself is used to present extreme examples or locations that are considered to be right 'on the precipice' of something, に 至 っては will primarily present things that are surprising or astonishing in some way. This is primarily only used when the example itself is quite negative or unfavorable.",N1
に至っても,に至っても,,Even when,"In contrast to に 至 っては , which presents the most extreme examples for something from within a specific category. に 至 っても will present the same extreme example from which some result will not occur. This is due to the adverbial particle も 'even' replacing は. に 至 っても may be translated as 'even if it came to (A), (B)', 'even when (A), (B)'. (B) will often be negative, thus highlighting that even the extreme (A) couldn't affect (B). This is a combination of the case-marking particle に, the て-form of the る-Verb 至 る 'to climax', or 'to culminate in', and the adverbial particle も. に 至 っても will appear following nouns, or verbs in their dictionary form . に 至 っても will often be used when the speaker laments or regrets that despite reaching the point of (A), (B) is something that will still not, or did not change. However, it may occasionally be used positively, especially when the speaker is expressing their determination.",N1
に至って,に至って・に至り,,"When it came to, Only when, Only after, Go as far as","Just like in other grammar points that include the う-Verb 至 る 'to result in', or 'to reach a climax', に 至 って will indicate (A) as an extreme extent from which (B) results. The case marking particle に will mark either a verb or noun as the extent that 至 る is signifying as being extreme. Common translations include 'only when (A), did (B)', and 'going as far as to (A), (B)'. The extreme extent that に 至 って implies will often be the result of something that has been left far too long in a certain state. Due to this, に 至 って is often used in relation to criticism of a lack of action. As with many other grammar structures that use verbs, occasionally the formal conjunctive 至 り will replace the standard て-form 至 って. Caution に 至 って and に 至 っても have quite different meanings, the primary thing to be aware of is as follows. (A) に 至 って (B) - Only when reaching the extreme of (A) did (B) occur. (A) に 至 っても (B) - Even if reaching the extreme of (A), (B) won't occur. に 至 っても will be covered in its own grammar point.",N1
に至るまで(),に至るまで,,"(Everything) from...to..., From…up until..., Starting with...ending with...","至 る is an う-Verb which can be roughly translated as 'to attain (A)', or 'to reach the climax of (A)'. This verb is seen in several different grammar structures that all basically highlight that some extreme or unexpected extent is being reached. When paired with に and まで, に 至 るまで is often interpreted as 'everything from (A) to (B)'. Comparative statements such as から or より frequently come directly after (A), while に 至 るまで will come directly after (B). This marks (B) as the 'extreme' extent. Both (A) and (B) will either be nouns or noun phrases. The 'to reach a climax' meaning of 至 る itself can be used as an indicator that grammar points that use this verb all indicate some kind of exceptionally wide range between (A) and (B). Due to this, 至 るまで can be thought of as simply a strong emphasis of まで by itself, which also marks an extent.",N1
に言わせると,に言わせれば・に言わせると・に言わせたら,,"If you ask, In … opinion, According to","に 言 わせれば is a structure that will be attached to nouns, in order to indicate a person or group that is giving a strong opinion. It is usually translated as 'if you ask (A), (B)', or 'according to (A), (B)'. The literal meaning is 'if (A) is allowed to speak, (B)', as this pattern is just a combination of the case-marking particle に, the う-Verb 言 う 'to say' followed by the hypothetical form of the auxiliary verb せる, せれ 'to allow to do', and the conjunction particle ば. To use this structure, simply attach it to the end of a noun marking the person or group whose opinion is being given. Other hypothetical structures such as と and たら may also be used, but ば is the most common. Additionally, this pattern may sound self-important, so is best used sparingly, especially when giving your own opinions. Occasionally, から will be used instead of に. Caution With the auxiliary verbs せる and させる, it will be important to remember that に tends to be mark the doer when they are being allowed to do something, as in this case, while を will be used more frequently when the doer is being made to do something.",N1
に越したことはない,に越したことはない,,"There is nothing better than, It is the best, Would be the best","Used to convey the meanings of 'there is nothing better than (A)', or '(A) would be the best', に 越 したことはない is a phrase that combines に, the past-tense form of 越 す, an う-Verb meaning 'to cross over', or 'to surpass', こと, は, and ない. Literally, it means 'there is nothing beyond (A)', or 'nothing surpasses (A)'. This structure will be seen with verbs, adjectives, and nouns in their standard forms. に 越 したことはない sentences generally present something positive, or some ideal outcome that is wished for. Caution - It is also quite common to see に 越 したことはない following words that use ない. In these cases, rather than '(A) would be the best', the meaning simply changes to 'it would be best if not (A)'.",N2
に足りない,に足りない,,"To not be worthy, To not be enough, To not be sufficient, To lack","に 足 りない is a grammar expression appearing after the dictionary form of verbs used to indicate that something is 'not worth (A)', or 'not sufficient for (A)'. It comes from a combination of the case-marking particle に, and the る-Verb 足 りる 'to be sufficient', or 'to be enough'. This structure is formal, so will mostly be used in literature or formal speech settings. While に 足 りない may be similar to another grammar point, に 足 る , in that they are conversely pointing out the worth, or lack of worth of something, they are actually different verbs. 足 る is an う-Verb, and is often used more in literature, or in western Japan. This means that the negative form of 足 る is 足 らない, not 足 りない. Caution Both 足 りない and 足 らない may be used as part of the set phrase 取 るに 足 りない, 'to be worthless', or 'to not be worth taking up for discussion'.",N1
